* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 11 févr. 2025 00:11:50
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R févr. 11
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
28.896645 -86.100 167.6294
29.106042 -86.019 176.1038
29.316957 -85.985 -175.9661
29.529400 -86.018 -168.5774
29.743382 -86.166 -161.0969
29.958915 -86.416 -153.1362
30.176009 -86.599 -144.6221
30.394677 -86.682 -136.0354
30.614929 -86.697 -128.2252
30.836778 -86.905 -120.7954
31.060234 -87.572 -113.0897
31.285309 -88.317 -103.9727
31.512015 -88.760 -94.0077
31.740364 -88.548 -85.0632
31.970368 -88.435 -77.6392
32.202039 -88.743 -71.0928
32.435388 -89.418 -63.3435
32.670428 -90.086 -53.7086
32.907171 -90.470 -41.9512
33.145630 -90.614 -29.5912
33.385817 -90.566 -17.7322
33.627745 -90.428 -6.7168
33.871425 -90.548 3.5304
34.116871 -90.823 13.3179
34.364096 -91.064 22.7255
34.613113 -91.251 31.0244
34.863934 -91.754 38.8904
35.116572 -92.742 47.2534
35.371041 -93.272 58.6223
35.627354 -93.567 72.7072
35.885525 -93.826 87.3973
36.145566 -93.804 99.6007
36.407492 -93.854 110.2957
36.671316 -94.082 120.8119
36.937051 -94.402 132.1426
37.204712 -94.758 143.5291
37.474313 -95.151 155.3048
37.745867 -95.431 167.6450
38.019389 -95.337 -179.5344
38.294893 -95.385 -167.9684
38.572394 -95.625 -158.0837
38.851905 -96.093 -148.8555
39.133442 -96.941 -137.9364
39.417019 -97.731 -123.2545
39.702651 -97.848 -108.8669
39.990353 -97.563 -99.2445
40.280140 -97.729 -94.2025
40.572026 -98.442 -89.0868
40.866028 -99.390 -80.1155
41.162160 -100.084 -65.8093
41.460438 -100.454 -47.9669
41.760877 -100.771 -31.4755
42.063494 -100.872 -20.4585
42.368303 -101.860 -15.2441
42.675322 -103.709 -12.7791
42.984565 -105.877 -5.8994
43.296048 -107.091 34.7467
43.609789 -106.208 86.1985
43.925804 -104.567 96.3204
44.244108 -103.754 95.2928
44.564719 -104.016 88.2405
44.887654 -104.563 80.3724
45.212928 -104.639 80.9789
45.540560 -104.277 92.4814
45.870565 -104.737 106.6572
46.202962 -107.170 113.4943
46.537768 -109.170 98.0994
46.875000 -107.748 -57.7983
47.214676 -104.837 -68.9205
47.556813 -102.572 -72.6968
47.901429 -102.084 -76.7910
48.248542 -103.876 -83.9875
48.598171 -106.866 -100.1029
48.950334 -108.566 116.2251
49.305048 -107.652 75.7767
49.662333 -106.665 50.4779
50.022206 -106.696 25.5328
50.384688 -107.738 11.2739
50.749796 -108.884 31.3580
51.117550 -108.713 123.6265
51.487969 -108.370 136.1614
51.861072 -108.039 134.5370
52.236879 -107.253 130.8584
52.615409 -107.500 129.0106
52.996681 -108.337 131.4896
53.380717 -108.354 136.1501
53.767536 -107.994 143.1843
54.157158 -108.720 167.6224
54.549603 -109.332 -131.2599
54.944892 -109.516 -101.1453
55.343045 -109.305 -83.6752
55.744084 -109.414 -65.0540
56.148028 -109.517 -38.1895
56.554900 -109.109 13.5455
56.964720 -107.234 53.1799
57.377510 -104.852 61.8915
57.793291 -103.456 59.3867
58.212085 -103.366 56.5109
58.633914 -104.076 58.9657
59.058799 -104.963 66.6494
59.486764 -105.803 74.8536
59.917829 -106.980 84.9167
60.352019 -107.704 106.6393
60.789354 -107.128 142.6704
61.229859 -106.125 167.3701
61.673556 -105.911 -177.3701
62.120468 -106.557 -153.1187
62.570618 -106.816 -118.7787
63.024031 -106.483 -103.9705
63.480729 -105.743 -101.4355
63.940736 -105.503 -90.9508
64.404077 -105.136 -52.8038
64.870776 -104.078 -20.9862
65.340856 -103.318 -8.9594
65.814343 -103.062 -1.9572
66.291261 -103.333 1.2764
66.771635 -103.933 -2.0112
67.255489 -104.721 -14.8030
67.742850 -105.422 -41.0023
68.233743 -105.272 -71.6118
68.728193 -104.500 94.8867
69.226226 -104.389 79.9622
69.727867 -105.582 37.6857
70.233144 -106.455 -52.2963
70.742083 -106.808 -84.0081
71.254709 -106.857 -98.4445
71.771050 -107.135 -96.1831
72.291132 -107.393 -92.8905
72.814984 -107.468 -100.5598
73.342631 -107.214 -107.2894
73.874102 -106.179 41.1777
74.409424 -105.250 32.2643
74.948626 -105.730 24.0061
75.491734 -107.149 23.9801
76.038779 -107.447 41.9956
76.589787 -106.551 51.5153
77.144788 -106.685 44.0652
77.703811 -107.858 11.9742
78.266885 -109.022 -23.6456
78.834039 -109.053 -33.1763
79.405303 -108.647 -28.9264
79.980706 -109.058 -10.6437
80.560280 -109.416 23.5331
81.144053 -109.177 42.8160
81.732056 -108.870 41.9606
82.324320 -109.000 36.7705
82.920876 -109.354 81.5239
83.521755 -109.204 146.2698
84.126988 -108.807 152.0442
84.736607 -108.369 150.0195
85.350643 -108.606 143.0408
85.969129 -109.385 130.1157
86.592097 -109.372 110.1848
87.219579 -108.099 78.6685
87.851608 -106.493 28.5256
88.488217 -105.602 -11.8962
89.129439 -105.815 -30.8688
89.775308 -107.250 -30.3761
90.425856 -108.944 7.6677
91.081119 -109.131 16.9623
91.741131 -107.282 -55.5472
92.405925 -104.805 -147.6871
93.075536 -102.966 -177.1232
93.750000 -102.281 157.4132
94.429351 -102.949 137.1460
95.113625 -104.674 127.3484
95.802858 -106.727 115.0768
96.497085 -108.069 75.4832
97.196342 -108.529 -3.6680
97.900667 -108.811 -41.5215
98.610096 -109.721 -61.3721
99.324665 -110.852 -115.3579
100.044413 -110.328 -174.3459
100.769376 -108.930 -178.7073
101.499592 -108.152 173.3208
102.235100 -108.369 157.2896
102.975938 -109.652 109.7169
103.722144 -111.444 24.2972
104.473757 -112.733 23.1866
105.230817 -112.960 110.2883
105.993363 -112.728 107.7915
106.761435 -112.011 112.4990
107.535072 -110.903 110.0580
108.314315 -110.289 101.3767
109.099206 -110.335 139.6279
109.889783 -110.256 -166.4756
110.686090 -108.889 -153.2631
111.488167 -106.202 -86.4180
112.296056 -103.634 -71.0453
113.109800 -101.947 -72.7024
113.929440 -100.800 -77.2651
114.755020 -100.316 -78.2242
115.586582 -100.197 -60.4316
116.424170 -99.457 -35.1162
117.267827 -98.707 -49.6512
118.117598 -99.035 -79.5532
118.973527 -100.515 -114.5974
119.835658 -102.619 52.6938
120.704037 -104.969 34.9440
121.578708 -107.168 54.8174
122.459718 -108.332 124.0029
123.347111 -108.501 143.6111
124.240935 -108.324 174.0386
125.141236 -107.900 -174.8519
126.048061 -108.104 167.3066
126.961458 -109.006 119.8743
127.881473 -109.510 -36.6105
128.808154 -109.336 -65.4989
129.741551 -109.532 -72.2185
130.681712 -110.169 -43.5795
131.628686 -110.547 -18.1161
132.582521 -111.124 -31.5704
133.543269 -111.751 -72.4302
134.510979 -111.751 -88.9639
135.485701 -111.858 -101.0878
136.467486 -111.341 -174.1384
137.456386 -109.739 125.7405
138.452451 -107.815 111.0438
139.455735 -105.840 136.2563
140.466288 -104.190 132.4902
141.484165 -103.585 93.6364
142.509418 -103.834 3.0957
143.542100 -104.367 -74.9076
144.582265 -105.001 -129.5225
145.629968 -105.789 -174.5662
146.685262 -106.728 90.9219
147.748204 -107.738 56.1236
148.818849 -108.163 89.2188
149.897251 -107.497 100.1804
150.983469 -106.343 -127.9624
152.077557 -105.716 -130.7349
153.179574 -105.779 -103.3116
154.289576 -106.120 -85.7003
155.407622 -106.806 -61.2290
156.533770 -107.152 2.2504
157.668078 -107.298 17.4901
158.810606 -107.529 50.7518
159.961413 -107.147 81.3212
161.120559 -106.594 83.3925
162.288105 -106.008 -71.3665
163.464112 -105.347 -102.2407
164.648640 -105.024 -112.7283
